"","X","Name","Visitor","Rate","City","chengshi","Year","Month"
"1",1,"南京中山陵园风景区","32.26","4A","南京","NJ",2004,1
"2",2,"南京雨花台景区","1.65","4A","南京","NJ",2004,1
"3",3,"南京夫子庙秦淮风光带","210","4A","南京","NJ",2004,1
"4",4,"南京阅江楼景区","0","4A","南京","NJ",2004,1
"5",5,"南京总统府景区","0","4A","南京","NJ",2004,1
"6",6,"无锡太湖鼋头渚风景区","16.59","4A","无锡","WX",2004,1
"7",7,"无锡灵山景区","14.4","4A","无锡","WX",2004,1
"8",8,"无锡三国水浒景区","3.49","4A","无锡","WX",2004,1
"9",9,"宜兴善卷洞风景区","1.99","4A","无锡","WX",2004,1
"10",10,"无锡锡惠园林文物名胜区","14.56","4A","无锡","WX",2004,1
"11",11,"徐州淮海战役烈士纪念塔园林","12.5","4A","徐州","XZ",2004,1
"12",12,"常州天宁寺","12.11","4A","常州","CZ",2004,1
"13",13,"常州天目湖旅游区","5.87","4A","常州","CZ",2004,1
"14",14,"常州环球恐龙城","3.5","4A","常州","CZ",2004,1
"15",15,"苏州拙政园","8.1","4A","苏州","SZ",2004,1
"16",16,"苏州虎丘风景名胜区","10","4A","苏州","SZ",2004,1
"17",17,"苏州乐园","4.33","4A","苏州","SZ",2004,1
"18",18,"苏州周庄古镇游览区","12.8","4A","苏州","SZ",2004,1
"19",19,"苏州同里古镇游览区","13.26","4A","苏州","SZ",2004,1
"20",20,"苏州甪直古镇游览区","2.26","4A","苏州","SZ",2004,1
"21",21,"常熟虞山-尚湖风景区","25.84","4A","苏州","SZ",2004,1
"22",22,"苏州盘门景区","3.06","4A","苏州","SZ",2004,1
"23",23,"苏州西山景区","2.05","4A","苏州","SZ",2004,1
"24",24,"苏州木渎古镇","3.89","4A","苏州","SZ",2004,1
"25",25,"苏州狮子林","4.2","4A","苏州","SZ",2004,1
"26",26,"苏州网师园","0.5","4A","苏州","SZ",2004,1
"27",27,"苏州留园","3.3","4A","苏州","SZ",2004,1
"28",28,"南通狼山旅游区","15.53","4A","南通","NT",2004,1
"29",29,"南通濠河旅游区","12.8","4A","南通","NT",2004,1
"30",30,"连云港花果山景区","1.99","4A","连云港","LYG",2004,1
"31",31,"连云港连岛旅游度假区","2.7","4A","连云港","LYG",2004,1
"32",32,"连云港孔望山风景区","1.2","4A","连云港","LYG",2004,1
"33",33,"扬州瘦西湖风景区","3.4","4A","扬州","YZ",2004,1
"34",34,"扬州大明寺","4.57","4A","扬州","YZ",2004,1
"35",35,"镇江金山公园","7","4A","镇江","ZJ",2004,1
"36",36,"镇江茅山风景区","15.3","4A","镇江","ZJ",2004,1
"37",37,"镇江焦山风景区","3.5","4A","镇江","ZJ",2004,1
"38",38,"镇江宝华山国家森林公园","14","4A","镇江","ZJ",2004,1
"39",39,"南京中山陵园风景区","36.12","4A","南京","NJ",2004,2
"40",40,"南京雨花台景区","10.3","4A","南京","NJ",2004,2
"41",41,"南京夫子庙秦淮风光带","170","4A","南京","NJ",2004,2
"42",42,"南京阅江楼景区","12.8","4A","南京","NJ",2004,2
"43",43,"南京总统府景区","0","4A","南京","NJ",2004,2
"44",44,"无锡太湖鼋头渚风景区","15.27","4A","无锡","WX",2004,2
"45",45,"无锡灵山景区","7.7","4A","无锡","WX",2004,2
"46",46,"无锡三国水浒景区","6.86","4A","无锡","WX",2004,2
"47",47,"宜兴善卷洞风景区","2.49","4A","无锡","WX",2004,2
"48",48,"无锡锡惠园林文物名胜区","16.71","4A","无锡","WX",2004,2
"49",49,"徐州淮海战役烈士纪念塔园林","9.5","4A","徐州","XZ",2004,2
"50",50,"常州天宁寺","4.3","4A","常州","CZ",2004,2
"51",51,"常州天目湖旅游区","6.3","4A","常州","CZ",2004,2
"52",52,"常州环球恐龙城","2.7","4A","常州","CZ",2004,2
"53",53,"苏州拙政园","5.9","4A","苏州","SZ",2004,2
"54",54,"苏州虎丘风景名胜区","10.4","4A","苏州","SZ",2004,2
"55",55,"苏州乐园","4.39","4A","苏州","SZ",2004,2
"56",56,"苏州周庄古镇游览区","9.6","4A","苏州","SZ",2004,2
"57",57,"苏州同里古镇游览区","22.86","4A","苏州","SZ",2004,2
"58",58,"苏州甪直古镇游览区","3.14","4A","苏州","SZ",2004,2
"59",59,"常熟虞山-尚湖风景区","24.6","4A","苏州","SZ",2004,2
"60",60,"苏州盘门景区","3.97","4A","苏州","SZ",2004,2
"61",61,"苏州西山景区","3.75","4A","苏州","SZ",2004,2
"62",62,"苏州木渎古镇","6.13","4A","苏州","SZ",2004,2
"63",63,"苏州狮子林","3.5","4A","苏州","SZ",2004,2
"64",64,"苏州网师园","0.35","4A","苏州","SZ",2004,2
"65",65,"苏州留园","2.1","4A","苏州","SZ",2004,2
"66",66,"南通狼山旅游区","6.97","4A","南通","NT",2004,2
"67",67,"南通濠河旅游区","7.23","4A","南通","NT",2004,2
"68",68,"连云港花果山景区","2.22","4A","连云港","LYG",2004,2
"69",69,"连云港连岛旅游度假区","3","4A","连云港","LYG",2004,2
"70",70,"连云港孔望山风景区","0.9","4A","连云港","LYG",2004,2
"71",71,"扬州瘦西湖风景区","4.78","4A","扬州","YZ",2004,2
"72",72,"扬州大明寺","3.13","4A","扬州","YZ",2004,2
"73",73,"镇江金山公园","4","4A","镇江","ZJ",2004,2
