"","formatted_address","city","district","location","level","wgs84_lng","wgs84_lat","name","amap_lng","amap_lat"
"1","江苏省南京市鼓楼区石头城遗址公园","南京市","鼓楼区","118.754756,32.050586","兴趣点",118.749531247744,32.052621815034,"石头城遗址公园",118.754756,32.050586
"2","江苏省南京市秦淮区景区","南京市","秦淮区","118.789494,32.020105","兴趣点",118.784302191641,32.0221610712926,"宝船厂遗址景区",118.789494,32.020105
"3","江苏省南京市鼓楼区乌龙潭公园","南京市","鼓楼区","118.766202,32.045926","兴趣点",118.76098227555,32.0479651067311,"乌龙潭公园",118.766202,32.045926
"4","江苏省南京市鼓楼区国防园","南京市","鼓楼区","118.754881,32.052144","兴趣点",118.749656123164,32.0541801830015,"国防园",118.754881,32.052144
"5","0","0","0","0","0",0,0,"幕燕滨江风貌区",0,0
"6","江苏省南京市江宁区南山湖","南京市","江宁区","118.581078,31.772531","村庄",118.576084978036,31.7746899468609,"南山湖景区",118.581078,31.772531
"7","江苏省南京市江宁区银杏湖景区","南京市","江宁区","118.703629,31.804116","兴趣点",118.698472923484,31.8061372454472,"银杏湖景区",118.703629,31.804116
"8","江苏省南京市江宁区方山风景区","南京市","江宁区","118.876113,31.895686","兴趣点",118.8710917514,31.8978555513402,"方山风景区",118.876113,31.895686
"9","江苏省南京市江宁区台湾创意农业旅游区","南京市","江宁区","118.662870,31.765601","兴趣点",118.657803212424,31.7676901977145,"江宁台湾创意农业旅游区",118.66287,31.765601
"10","江苏省南京市浦口区文化名人纪念馆","南京市","浦口区","118.619829,32.056625","兴趣点",118.614809227761,32.0588389440108,"求雨山文化名人纪念馆",118.619829,32.056625
"11","江苏省南京市浦口区老山森林公园","南京市","浦口区","118.618313,32.112742","兴趣点",118.613289603057,32.114969140152,"老山森林公园景区",118.618313,32.112742
"12","江苏省南京市浦口区雨发生态园","南京市","浦口区","118.540069,32.027930","兴趣点",118.534970250472,32.0300760016158,"雨发生态园",118.540069,32.02793
"13","江苏省南京市六合区冶山","南京市","六合区","118.968505,32.503401","乡镇",118.963322252563,32.5055459943102,"冶山国家矿山公园",118.968505,32.503401
"14","江苏省南京市六合区平山森林公园","南京市","六合区","118.844695,32.459991","兴趣点",118.839571518084,32.462180115311,"平山森林公园",118.844695,32.459991
"15","江苏省南京市溧水区傅家边","南京市","溧水区","119.017339,31.571161","村庄",119.012069642208,31.5730730879357,"傅家边农业科技观光园",119.017339,31.571161
"16","江苏省南京市溧水区天生桥风景区","南京市","溧水区","118.990778,31.645348","兴趣点",118.985597689803,31.6473385272684,"天生桥风景区",118.990778,31.645348
"17","江苏省南京市溧水区大金山风景区","南京市","溧水区","119.120580,31.692257","兴趣点",119.115146993942,31.6940456114569,"大金山风景区",119.12058,31.692257
"18","0","0","0","0","0",0,0,"万驰国际汽车体育公园",0,0
"19","江苏省南京市江宁区香草谷","南京市","江宁区","118.731879,31.847879","兴趣点",118.726680781337,31.8498759099087,"大塘金香草谷",118.731879,31.847879
"20","江苏省南京市浦口区水墨大埝","南京市","浦口区","118.598362,32.119688","兴趣点",118.593346811925,32.1219255318655,"水墨大埝旅游区",118.598362,32.119688
"21","江苏省无锡市滨湖区唐城","无锡市","滨湖区","120.244193,31.505492","兴趣点",120.239608928125,31.5074433383134,"唐城景区",120.244193,31.505492
"22","0","0","0","0","0",0,0,"龙头渚公园",0,0
"23","江苏省无锡市滨湖区龙寺生态园","无锡市","滨湖区","120.239532,31.447009","兴趣点",120.234947766648,31.4489695971918,"龙寺生态园",120.239532,31.447009
"24","江苏省无锡市新吴区新洲生态园","无锡市","新吴区","120.387084,31.523446","兴趣点",120.382383359756,31.5252130473829,"新洲生态园",120.387084,31.523446
"25","江苏省无锡市滨湖区生态景观园","无锡市","滨湖区","120.255135,31.458404","兴趣点",120.250563274338,31.4603635284763,"雪浪山生态景观园",120.255135,31.458404
"26","江苏省无锡市梁溪区秦邦宪故居","无锡市","梁溪区","120.301811,31.574660","兴趣点",120.297208655052,31.5765574386891,"秦邦宪故居",120.301811,31.57466
