"","Name","City","Rate","Date","Year"
"1","南京市石头城遗址公园","南京市","AAA","2009.12.16","2009"
"2","南京市宝船厂遗址景区","南京市","AAA","2007.12.25","2007"
"3","南京市乌龙潭公园","南京市","AAA","2008.12.18","2008"
"4","南京市国防园","南京市","AAA","2016.11.3","2016"
"5","南京市幕燕滨江风貌区","南京市","AAA","2011.12.21","2011"
"6","南京市南山湖景区","南京市","AAA","2006.1.27","2006"
"7","南京市银杏湖景区","南京市","AAA","2006.1.27","2006"
"8","南京市方山风景区","南京市","AAA","2011.12.21","2011"
"9","南京市江宁台湾创意农业旅游区","南京市","AAA","2013.12.4","2013"
"10","南京市求雨山文化名人纪念馆","南京市","AAA","2006.10.23","2006"
"11","南京市老山森林公园景区","南京市","AAA","2013.11.15","2013"
"12","南京市雨发生态园","南京市","AAA","2016.11.3","2016"
"13","南京市冶山国家矿山公园","南京市","AAA","2014.11.18","2014"
"14","南京市平山森林公园","南京市","AAA","2014.11.18","2014"
"15","南京市傅家边农业科技观光园","南京市","AAA","2006.1.27","2006"
"16","南京市天生桥风景区","南京市","AAA","2006.1.27","2006"
"17","南京市大金山风景区","南京市","AAA","2008.12.18","2008"
"18","南京市万驰国际汽车体育公园","南京市","AAA","2015.12.29","2015"
"19","南京市大塘金香草谷","南京市","AAA","2017.12.4","2017"
"20","南京市水墨大埝旅游区","南京市","AAA","2017.12.4","2017"
"21","无锡市唐城","无锡市","AAA","2001.10.22","2001"
"22","无锡市龙头渚公园","无锡市","AAA","2005.04.27","2005"
"23","无锡市龙寺生态园","无锡市","AAA","2005.12.08","2005"
"24","无锡市新洲生态园","无锡市","AAA","2006.12.23","2006"
"25","无锡市雪浪山生态景观园","无锡市","AAA","2006.12.23","2006"
"26","无锡市秦邦宪故居","无锡市","AAA","2008.12.18","2008"
"27","无锡市钱穆<U+2022>钱伟长故居","无锡市","AAA","2014.11.18","2014"
"28","无锡市冯其庸学术馆","无锡市","AAA","2015.12.21","2015"
"29","无锡宜兴市兴望农业休闲文化园","无锡市","AAA","2012.11.23","2012"
"30","无锡宜兴市阳山荡景区","无锡市","AAA","2015.12.21","2015"
"31","无锡宜兴市华东百畅生态休闲度假园","无锡市","AAA","2016.09.18","2016"
"32","无锡江阴市双泾生态园","无锡市","AAA","2012.12.20","2012"
"33","无锡江阴市长泾古镇文化旅游区","无锡市","AAA","2014.12.10","2014"
"34","无锡市锦绣园","无锡市","AAA","2017.12.28","2017"
"35","徐州沛县汉城景区","徐州市","AAA","2016.9.26","2016"
"36","徐州市滨湖公园","徐州市","AAA","2006.1.27","2006"
