Name,lng,lat
南京金牛湖景区,118.968617,32.469903
南京珍珠泉风景区,118.663018,32.124457
江苏茶博园,119.264435,31.924049
南京高淳国际慢城,119.075929,31.382557
江苏大阳山国家森林公园,120.464702,31.343971
宜兴云湖旅游景区,119.586753,31.238585
无锡华莱坞影都,120.277052,31.469386
徐州乐园,117.124951,34.227724
徐州凤鸣海景区,117.505118,34.439674
徐州大洞山景区,117.513215,34.415233
邳州艾山九龙景区,117.97468,34.512411
新沂窑湾古镇景区,118.07264,34.176728
睢宁水月禅寺景区,117.893957,33.923997
溧阳市天目湖南山竹海景区,119.524631,31.168802
常州环球恐龙城,120.000684,31.823705
常州中华孝道园,120.070366,31.476667
常州天目湖御水温泉景区,119.53349,31.181829
苏州西山景区,120.265613,31.120738
苏州吴中太湖旅游区,120.444477,31.218901
苏州木渎古镇,120.512079,31.251371
苏州湾黄金湖岸旅游区,120.583397,31.131201
苏州甪直古镇游览区,120.872156,31.268776
苏州沙家浜·虞山尚湖旅游区,120.798127,31.548807
常熟沙家浜景区,120.803963,31.554395
常熟蒋巷乡村旅游景区,120.96787,31.504674
张家港永联景区,120.717812,31.842377
太仓现代农业园,121.174596,31.54613
南通濠河旅游区,120.865869,32.015434
连云港海上云台山景区,119.427938,34.704747
东海水晶文化旅游区,118.740335,34.538953
连云港革命历史纪念馆,119.225581,34.593995
连云港东海羽泉景区,118.680306,34.602567
盐城海盐历史文化风景区,120.172059,33.35849
大丰港海洋世界,120.725786,33.223582
盐城丹顶鹤湿地生态旅游区,120.503723,33.604079
涟水五岛湖旅游区,119.26373,33.766445
淮安市博物馆,119.012706,33.611175
淮安周恩来故里景区,119.149765,33.514983
淮安洪泽湖古堰景区,118.83515,33.282657
盱眙铁山寺国家森林公园,118.490492,32.73965
新四军刘老庄连纪念园,118.9743,33.808995
扬州京华城休闲旅游区,119.374424,32.385687
扬州宋夹城景区,119.427459,32.416243
镇江中国米芾书法公园,119.387557,32.126459
镇江南山风景名胜区,119.441435,32.171404
姜堰古罗塘文化旅游景区,120.151957,32.509198
泰州秋雪湖生态景区,119.978017,32.551332
姜堰溱湖旅游区,120.093955,32.623122
宿迁洋河酒厂文化旅游区,118.375565,33.776712
